SUBID,TCK,noise_T01,noise_T02
S006,RSLF,141.415,
S006,RTR,143.928,
S006,RUF,156.085,
S007,CFMaj,142.881,
S007,CFMin,145.925,
S007,LAF,140.604,
S007,LCC,137.447,
S007,LCH,141.78,
S007,LCST,131.524,
S007,LIFOF,142.223,
S007,LILF,142.253,
S007,LKN27,142.69,
S007,LKN28,142.996,
S007,LKN29,142.59,
S007,LKN30,142.993,
S007,LKN31,145.795,
S007,LKN32,144.999,
S007,LKN33,144.878,
S007,LKN34,140.403,
S007,LKN35,150.088,
S007,LKN36,148.975,
S007,LKN37,147.385,
S007,LKN38,146.2,
S007,LKN39,133.624,
S007,LKN40,133.883,
S007,LKN41,133.021,
S007,LKN42,133.926,
S007,LKN43,131.264,
S007,LKN44,130.078,
S007,LKN45,131.586,
S007,LKN46,131.016,
S007,LKN47,130.83,
S007,LKN48,132.969,
S007,LORV1,142.507,
S007,LORV1V2,142.789,
S007,LORV1V2R3,142.544,
S007,LSLF,137.181,
S007,LTR,142.908,
S007,LUF,144.131,
S007,RAF,138.125,
S007,RCC,136.079,
S007,RCH,139.319,
S007,RCST,131.425,
S007,RIFO,143.262,
S007,RILF,141.995,
S007,RORV1,143.269,
S007,RORV1V2,142.94,
S007,RORV1V2R3,142.648,
S007,RSLF,136.418,
S007,RTR,142.491,
S007,RUF,141.34,
S009,CFMaj,146.28,
S009,CFMin,146.244,
S009,LAF,137.318,
S009,LCC,137.283,
S009,LCH,156.43,
S009,LCST,140.305,
S009,LIFOF,141.93,
S009,LILF,145.039,
S009,LKN27,140.295,
S009,LKN28,141.944,
S009,LKN29,139.674,
S009,LKN30,141.267,
S009,LKN31,143.867,
S009,LKN32,142.9,
S009,LKN33,143.006,
S009,LKN34,141.036,
S009,LKN35,144.904,
S009,LKN36,143.321,
S009,LKN37,144.38,
S009,LKN38,143.546,
S009,LKN39,156.495,
S009,LKN40,156.004,
S009,LKN41,151.612,
S009,LKN42,156.296,
S009,LKN43,134.831,
S009,LKN44,133.754,
S009,LKN45,133.908,
S009,LKN46,133.132,
S009,LKN47,135.264,
S009,LKN48,135.232,
S009,LORV1,138.589,
S009,LORV1V2,140.065,
S009,LORV1V2R3,139.307,
S009,LSLF,136.717,
S009,LTR,142.809,
S009,LUF,166.744,
S009,RAF,136.102,
S009,RCC,135.887,
S009,RCH,157.293,
S009,RCST,138.108,
S009,RIFO,143.374,
S009,RILF,142.703,
S009,RORV1,139.794,
S009,RORV1V2,142.032,
S009,RORV1V2R3,141.874,
S009,RSLF,136.603,
S009,RTR,141.226,
S009,RUF,155.061,
S010,CFMaj,149.459,
S010,CFMin,152.427,
S010,LAF,147.823,
S010,LCC,144.549,
S010,LCH,158.018,
S010,LCST,158.41,
S010,LIFOF,150.316,
S010,LILF,149.463,
S010,LKN27,145.652,
S010,LKN28,148.812,
S010,LKN29,145.531,
S010,LKN30,148.808,
S010,LKN31,164.132,
S010,LKN32,161.19,
S010,LKN33,153.811,
S010,LKN34,152.344,
S010,LKN35,158.49,
S010,LKN36,156.34,
S010,LKN37,154.054,
S010,LKN38,152.949,
S010,LKN39,142.735,
S010,LKN40,142.252,
S010,LKN41,140.64,
S010,LKN42,142.206,
S010,LKN43,140.451,
S010,LKN44,140.278,
S010,LKN45,138.603,
S010,LKN46,138.295,
S010,LKN47,140.209,
S010,LKN48,142.474,
S010,LORV1,145.989,
S010,LORV1V2,145.692,
S010,LORV1V2R3,145.562,
S010,LSLF,147.162,
S010,LTR,153.498,
S010,LUF,164.153,
S010,RAF,144.081,
S010,RCC,145.042,
S010,RCH,153.123,
S010,RCST,153.711,
S010,RIFO,148.709,
S010,RILF,149.241,
S010,RORV1,149.076,
S010,RORV1V2,149.004,
S010,RORV1V2R3,149.106,
S010,RSLF,144.605,
S010,RTR,148.962,
S010,RUF,155.995,
S011,CFMaj,140.686,
S011,CFMin,144.26,
S011,LAF,138.661,
S011,LCC,139.752,
S011,LCH,157.774,
S011,LCST,154.78,
S011,LIFOF,141.322,
S011,LILF,144.918,
S011,LKN27,139.825,
S011,LKN28,138.373,
S011,LKN29,139.799,
S011,LKN30,138.393,
S011,LKN31,166.314,
S011,LKN32,150.47,
S011,LKN33,153.345,
S011,LKN34,147.166,
S011,LKN35,152.182,
S011,LKN36,145.727,
S011,LKN37,147.168,
S011,LKN38,142.77,
S011,LKN39,158.693,
S011,LKN40,151.367,
S011,LKN41,155.762,
S011,LKN42,148.896,
S011,LKN43,135.704,
S011,LKN44,134.95,
S011,LKN45,133.901,
S011,LKN46,132.424,
S011,LKN47,136.48,
S011,LKN48,136.58,
S011,LORV1,139.948,
S011,LORV1V2,139.789,
S011,LORV1V2R3,139.57,
S011,LSLF,140.527,
S011,LTR,144.89,
S011,LUF,154.234,
S011,RAF,137.904,
S011,RCC,137.756,
S011,RCH,151.907,
S011,RCST,151.477,
S011,RIFO,139.973,
S011,RILF,143.351,
S011,RORV1,138.786,
S011,RORV1V2,138.605,
S011,RORV1V2R3,138.361,
S011,RSLF,139.461,
S011,RTR,141.887,
S011,RUF,152.183,
S012,CFMaj,144.644,
S012,CFMin,143.391,
S012,LAF,144.719,
S012,LCC,140.9,
S012,LCH,156.812,
S012,LCST,155.335,
S012,LIFOF,145.486,
S012,LILF,145.025,
S012,LKN27,142.99,
S012,LKN28,144.142,
S012,LKN29,143.237,
S012,LKN30,144.299,
S012,LKN31,149.055,
S012,LKN32,144.612,
S012,LKN33,147.259,
S012,LKN34,143.81,
S012,LKN35,162.608,
S012,LKN36,156.335,
S012,LKN37,153.42,
S012,LKN38,150.495,
S012,LKN39,145.028,
S012,LKN40,142.962,
S012,LKN41,147.113,
S012,LKN42,144.537,
S012,LKN43,135.862,
S012,LKN44,136.938,
S012,LKN45,134.076,
S012,LKN46,136.149,
S012,LKN47,137.07,
S012,LKN48,140.834,
S012,LORV1,143.636,
S012,LORV1V2,143.165,
S012,LORV1V2R3,143.26,
S012,LSLF,142.963,
S012,LTR,149.591,
S012,LUF,169.209,
S012,RAF,140.916,
S012,RCC,141.753,
S012,RCH,166.864,
S012,RCST,161.467,
S012,RIFO,144.002,
S012,RILF,147.34,
S012,RORV1,144.74,
S012,RORV1V2,144.134,
S012,RORV1V2R3,144.251,
S012,RSLF,142.82,
S012,RTR,145.855,
S012,RUF,161.344,
S013,CFMaj,142.237,
S013,CFMin,137.02,
S013,LAF,135.634,
S013,LCC,139.396,
S013,LCH,146.592,
S013,LCST,128.434,
S013,LIFOF,142.207,
S013,LILF,151.095,
S013,LKN27,145.412,
S013,LKN28,144.085,
S013,LKN29,144.97,
S013,LKN30,143.731,
S013,LKN31,145.146,
S013,LKN32,145.129,
S013,LKN33,141.655,
S013,LKN34,141.838,
S013,LKN35,146.24,
S013,LKN36,146.67,
S013,LKN37,143.44,
S013,LKN38,144.433,
S013,LKN39,156.523,
S013,LKN40,153.715,
S013,LKN41,157.572,
S013,LKN42,157.698,
S013,LKN43,127.983,
S013,LKN44,126.138,
S013,LKN45,126.384,
S013,LKN46,125.405,
S013,LKN47,120.539,
S013,LKN48,120.892,
S013,LORV1,145.751,
S013,LORV1V2,144.843,
S013,LORV1V2R3,144.941,
S013,LSLF,135.387,
S013,LTR,140.43,
S013,LUF,154.31,
S013,RAF,137.39,
S013,RCC,136.877,
S013,RCH,148.326,
S013,RCST,127.575,
S013,RIFO,142.101,
S013,RILF,152.079,
S013,RORV1,144.337,
S013,RORV1V2,144.107,
S013,RORV1V2R3,144.028,
S013,RSLF,133.879,
S013,RTR,137.714,
S013,RUF,162.302,
S014,CFMaj,145.436,
S014,CFMin,154.347,
S014,LAF,143.85,
S014,LCC,142.978,
S014,LCH,149.195,
S014,LCST,149.483,
S014,LIFOF,147.33,
S014,LILF,143.667,
S014,LKN27,140.219,
S014,LKN28,141.298,
S014,LKN29,139.961,
S014,LKN30,140.755,
S014,LKN31,148.466,
S014,LKN32,146.172,
S014,LKN33,145.53,
S014,LKN34,144.688,
S014,LKN35,150.759,
S014,LKN36,147.539,
S014,LKN37,147.529,
S014,LKN38,146.482,
S014,LKN39,145.059,
S014,LKN40,144.359,
S014,LKN41,146.252,
S014,LKN42,145.3,
S014,LKN43,136.317,
S014,LKN44,138.136,
S014,LKN45,134.774,
S014,LKN46,134.943,
S014,LKN47,135.863,
S014,LKN48,138.527,
S014,LORV1,139.999,
S014,LORV1V2,140.121,
S014,LORV1V2R3,140.063,
S014,LSLF,141.125,
S014,LTR,152.2,
S014,LUF,154.332,
S014,RAF,141.35,
S014,RCC,141.384,
S014,RCH,154.74,
S014,RCST,148.017,
S014,RIFO,146.448,
S014,RILF,146.115,
S014,RORV1,141.019,
S014,RORV1V2,141.389,
S014,RORV1V2R3,140.811,
S014,RSLF,141.045,
S014,RTR,147.983,
S014,RUF,149.899,
S016,CFMaj,146.459,99.4089
S016,CFMin,143.974,123.435
S016,LAF,143.219,133.113
S016,LCC,144.076,143.524
S016,LCH,140.756,95.1646
S016,LCST,147.88,162.412
S016,LIFOF,143.882,125.87
S016,LILF,142.158,105.713
S016,LKN27,142.191,91.0183
S016,LKN28,142.19,91.6888
S016,LKN29,141.937,89.9674
S016,LKN30,142.091,91.6815
S016,LKN31,144.928,137.122
S016,LKN32,144.565,138.059
S016,LKN33,143.687,162.106
S016,LKN34,145.953,155.92
S016,LKN35,148.72,124.288
S016,LKN36,147.511,127.728
S016,LKN37,145.5,152.27
S016,LKN38,145.258,152.077
S016,LKN39,145.967,102.001
S016,LKN40,144.854,107.902
S016,LKN41,149.405,106.275
S016,LKN42,149.071,125.095
S016,LKN43,142.752,155.459
S016,LKN44,140.796,156.144
S016,LKN45,140.545,169.121
S016,LKN46,140.257,165.683
S016,LKN47,144.253,151.749
S016,LKN48,143.588,154.541
S016,LORV1,142.751,98.2072
S016,LORV1V2,142.306,92.6372
S016,LORV1V2R3,142.067,90.8681
S016,LSLF,144.917,138.971
S016,LTR,149.657,171.638
S016,LUF,149.685,75.9619
S016,RAF,141.002,132.604
S016,RCC,144.015,148.176
S016,RCH,138.717,96.4698
S016,RCST,146.668,154.621
S016,RIFO,143.297,126.954
S016,RILF,140.146,101.816
S016,RORV1,143.234,99.183
S016,RORV1V2,142.479,94.2641
S016,RORV1V2R3,141.737,92.2927
S016,RSLF,144.068,140.22
S016,RTR,147.429,166.329
S016,RUF,146.756,84.1671
S017,CFMaj,136.571,138.249
S017,CFMin,130.732,140.475
S017,LAF,129.306,135.006
S017,LCC,128.073,134.851
S017,LCH,149.042,163.825
S017,LCST,142.671,154.816
S017,LIFOF,133.795,140.2
S017,LILF,137.106,145.39
S017,LKN27,137.406,139.831
S017,LKN28,138.966,136.871
S017,LKN29,137.483,139.594
S017,LKN30,138.615,136.226
S017,LKN31,141.649,147.744
S017,LKN32,135.695,140.739
S017,LKN33,133.871,142.386
S017,LKN34,133.226,137.628
S017,LKN35,141.56,145.428
S017,LKN36,140.169,145.632
S017,LKN37,139.03,146.717
S017,LKN38,133.532,144.687
S017,LKN39,146.586,160.518
S017,LKN40,145.402,160.971
S017,LKN41,151.338,162.689
S017,LKN42,149.306,164.25
S017,LKN43,128.599,137.035
S017,LKN44,129.427,137.683
S017,LKN45,125.73,133.55
S017,LKN46,127.215,134.535
S017,LKN47,125.107,135.455
S017,LKN48,128.861,137.417
S017,LORV1,137.8,141.613
S017,LORV1V2,137.359,139.777
S017,LORV1V2R3,137.396,139.747
S017,LSLF,127.696,135.038
S017,LTR,130.868,142.102
S017,LUF,144.753,168.758
S017,RAF,129.584,135.397
S017,RCC,129.487,134.191
S017,RCH,150.102,158.385
S017,RCST,143.327,156.284
S017,RIFO,137.297,141.245
S017,RILF,142.419,145.767
S017,RORV1,139.817,138.744
S017,RORV1V2,138.926,137.068
S017,RORV1V2R3,138.826,136.902
S017,RSLF,129.669,135.764
S017,RTR,132.092,140.349
S017,RUF,150.54,165.788
S018,CFMaj,141.695,155.507
S018,CFMin,144.551,150.292
S018,LAF,137.958,149.502
S018,LCC,133.983,146.398
S018,LCH,179.605,169.294
S018,LCST,151.335,163.579
S018,LIFOF,144.829,151.972
S018,LILF,149.202,148.784
S018,LKN27,144.164,150.752
S018,LKN28,142.74,150.182
S018,LKN29,144.218,149.649
S018,LKN30,142.483,149.214
S018,LKN31,155.628,152.409
S018,LKN32,148.758,151.665
S018,LKN33,149.428,151.232
S018,LKN34,143.098,151.575
S018,LKN35,155.911,159.976
S018,LKN36,152.71,150.217
S018,LKN37,150.577,162.089
S018,LKN38,148.635,147.873
S018,LKN39,154.769,168.354
S018,LKN40,154.309,168.75
S018,LKN41,157.705,166.547
S018,LKN42,157.931,168.771
S018,LKN43,134.184,142.346
S018,LKN44,134.319,140.455
S018,LKN45,132.02,140.226
S018,LKN46,130.463,138.727
S018,LKN47,131.463,146.26
S018,LKN48,134.192,141.497
S018,LORV1,144.172,152.667
S018,LORV1V2,144.068,150.739
S018,LORV1V2R3,144.171,150.182
S018,LSLF,136.718,146.688
S018,LTR,145.465,154.384
S018,LUF,169.791,156.507
S018,RAF,137.106,142.848
S018,RCC,133.633,150.08
S018,RCH,157.617,154.714
S018,RCST,160.764,163.96
S018,RIFO,145.077,151.928
S018,RILF,146.276,148.45
S018,RORV1,143.395,151.514
S018,RORV1V2,142.766,149.746
S018,RORV1V2R3,142.614,149.776
S018,RSLF,135.565,143.863
S018,RTR,142.442,154.74
S018,RUF,157.495,144.593
S019,CFMaj,143.144,
S019,CFMin,140.884,
S019,LAF,135.551,
S019,LCC,135.872,
S019,LCH,160.412,
S019,LCST,139.6,
S019,LIFOF,142.842,
S019,LILF,142.956,
S019,LKN27,142.76,
S019,LKN28,141.508,
S019,LKN29,142.657,
S019,LKN30,141.565,
S019,LKN31,151.114,
S019,LKN32,146.787,
S019,LKN33,148.404,
S019,LKN34,139.267,
S019,LKN35,150.638,
S019,LKN36,149.113,
S019,LKN37,145.589,
S019,LKN38,144.936,
S019,LKN39,157.099,
S019,LKN40,165.761,
S019,LKN41,157.516,
S019,LKN42,166.607,
S019,LKN43,134.252,
S019,LKN44,133.432,
S019,LKN45,131.971,
S019,LKN46,132.189,
S019,LKN47,133.24,
S019,LKN48,133.752,
S019,LORV1,142.285,
S019,LORV1V2,142.719,
S019,LORV1V2R3,142.739,
S019,LSLF,135.468,
S019,LTR,142.708,
S019,LUF,161.295,
S019,RAF,134.85,
S019,RCC,136.209,
S019,RCH,158.119,
S019,RCST,140.924,
S019,RIFO,143.004,
S019,RILF,142.824,
S019,RORV1,140.586,
S019,RORV1V2,141.356,
S019,RORV1V2R3,141.704,
S019,RSLF,135.835,
S019,RTR,143.655,
S019,RUF,155.584,
S020,CFMaj,148.61,147.936
S020,CFMin,142.025,142.264
S020,LAF,138.973,141.153
S020,LCC,134.497,138.359
S020,LCH,148.013,153.155
S020,LCST,147.5,135.919
S020,LIFOF,143.441,144.436
S020,LILF,142.757,155.457
S020,LKN27,145.118,151.751
S020,LKN28,146.507,151.923
S020,LKN29,144.756,151.869
S020,LKN30,146.309,151.94
S020,LKN31,148.452,151.419
S020,LKN32,143.88,145.373
S020,LKN33,145.515,141.049
S020,LKN34,142.347,142.294
S020,LKN35,153.946,150.639
S020,LKN36,151.625,149.373
S020,LKN37,150.186,148.519
S020,LKN38,148.023,147.237
S020,LKN39,150.814,152.326
